customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalSpendApprox,AvgMonthlySpend,IsSeniorCitizen
7590-VHVEG,0,0.0,0.11542288557213937,0.0012750980844680737,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.736492284344076,0.893079754726094,0
5575-GNVDE,0,0.4647887323943662,0.38507462686567173,0.21586660512347106,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0.45435147737414033,0.8761314939044432,0
3668-QPYBK,0,0.014084507042253558,0.35422885572139307,0.010310408492960998,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.5421171061879885,0.8951773585577426,0
7795-CFOCW,0,0.6197183098591549,0.2393034825870647,0.21024117239787676,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,0.38560212415726436,0.8762874772700415,0
9237-HQITU,0,0.014084507042253558,0.5218905472636817,0.015330025386568191,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.4118833293802404,0.8948113781209572,0
9305-CDSKC,0,0.09859154929577468,0.809950248756219,0.09251096238172166,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0.24125557255044083,0.28256863194087656,0
1452-KIOVK,0,0.295774647887324,0.7049751243781095,0.22277867528271408,0,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0.3931526310117736,0.8757077132162895,0
6713-OKOMC,0,0.12676056338028174,0.11442786069651745,0.032667897530579304,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.6571509579626946,0.830692090585785,0
7892-POOKP,0,0.3802816901408451,0.8611940298507463,0.3493249480729287,1,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0.4125600682523904,0.8787517847264208,0
6388-TABGU,0,0.8591549295774646,0.37711442786069654,0.40031733210246945,0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3925097345026338,0.8779778682721593,0
9763-GRSKD,0,0.16901408450704225,0.3154228855721394,0.06561850911608585,0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.5307642814094478,0.8605017701864892,0
7469-LKBCI,0,0.21126760563380284,0.006965174129353324,0.03554119547657511,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0.6487837037753362,0.8649632857771354,0
